latitude,longitude,cluster
13.0400041,77.5180991,0
12.9218755,77.6451585,1
12.955622,77.5857083,0
13.0061469,77.5794348,0
12.95398,77.5852333,0
13.0664854,77.5998755,-1
12.9328703,77.4879814,-1
12.973175,77.6003961,0
12.97883573,77.59953728,0
13.0373543,77.6540442,-1
13.0008457,77.6813712,0
12.94457,77.5274017,0
12.9995223,77.6827499,0
13.0418933,77.594705,0
12.975285,77.6256902,0
13.0633917,77.5933483,0
13.063425,77.5933,0
13.0254527,77.6417388,0
12.9233517,77.5904883,0
13.0001393,77.5840594,0
12.9071221,77.6286395,0
12.927375,77.5806883,0
12.9169074,77.5950955,0
12.9667047,77.6615983,29
12.8966387,77.7202071,-1
12.9463911,77.597326,0
12.9856042,77.5977438,0
12.9077383,77.6005709,0
12.9635109,77.6642122,-1
12.9667073,77.6615616,29
12.9666867,77.6616478,29
12.907814,77.6006561,0
12.8955737,77.5993711,0
12.92757,77.5832051,0
13.044697,77.5828546,0
12.9666885,77.6616396,29
12.9789228,77.5644032,0
12.8636494,77.6725849,-1
12.9219483,77.6002467,0
12.9666597,77.661556,29
12.946469,77.6986754,1
12.9936273,77.5844677,0
12.9465079,77.6986339,1
13.0467058,77.5036495,0
13.0166142,77.5054464,-1
13.0085677,77.6131497,0
13.0309717,77.5364661,0
13.0262806,77.5442344,0
12.9938639,77.5844374,0
12.9188682,77.6687736,1
12.9546127,77.6423399,0
12.936133,77.5187044,0
12.9694079,77.7006346,1
12.9849833,77.5883633,0
13.0127301,77.5545135,0
12.9842019,77.7336286,2
13.2644465,77.7187627,-1
12.9848257,77.7527586,3
12.9932986,77.5837571,0
12.9937523,77.5842482,0
12.9938868,77.5841876,0
12.9368467,77.6928653,1
13.0126766,77.5581246,0
12.9513113,77.4994888,4
13.0160964,77.5068555,-1
12.9807501,77.6028238,0
12.9165983,77.583705,0
13.0198619,77.6562235,0
13.0191848,77.6555127,0
12.9740913,77.5452252,0
12.9740971,77.5449011,0
12.9688926,77.569795,0
12.9838737,77.5286068,4
12.9595586,77.5162093,4
12.9511354,77.5739687,0
13.0192138,77.5395595,0
12.9161187,77.5856548,0
12.9284355,77.6811918,1
13.0753282,77.4370383,0
13.2673624,77.7195893,-1
12.9449039,77.4949618,-1
12.9873133,77.6163481,0
12.969418,77.7006526,1
12.9613232,77.5644194,0
12.959419,77.5165897,4
12.9431035,77.6220445,5
12.8482637,77.6713737,-1
12.96672,77.6093294,0
13.0253205,77.6400845,0
12.8561783,77.6645205,6
12.9641056,77.5825203,0
12.974757,77.5657216,0
12.9640011,77.5836093,0
12.9480512,77.5343585,0
12.9245654,77.6739287,1
13.0078566,77.5920655,0
13.0035862,77.5721203,0
12.9854129,77.5941024,0
12.9272622,77.5806774,0
13.0022504,77.5722138,0
12.9586724,77.5629452,0
13.0369808,77.5895122,0
12.9169077,77.5737827,0
12.9047066,77.6016042,0
12.9047995,77.6017019,0
12.9774707,77.5457303,0
12.904781,77.6015741,0
12.9238693,77.5536044,7
12.9585656,77.5932824,0
12.9601533,77.5633429,0
12.9578001,77.5631189,0
12.95836,77.5776317,0
12.9187567,77.621505,0
13.0331905,77.5901915,0
12.9360494,77.6154975,0
12.9784088,77.6285392,0
12.9873237,77.6037885,0
13.0190323,77.654465,0
13.0446713,77.5828869,0
12.9119892,77.6254956,0
12.9893579,77.5064443,4
13.0152581,77.5639687,0
12.9392829,77.5596125,-1
12.9614398,77.5600867,0
12.9194445,77.6215536,0
13.0501731,77.4947759,0
12.8400906,77.6764868,8
13.042636,77.5147881,0
12.9110914,77.6001308,0
12.9516567,77.500185,4
12.9698017,77.7319617,-1
13.114305,77.60655,0
12.9900159,77.5025425,4
13.0424443,77.5147257,0
12.9216832,77.6199372,0
13.0467369,77.575502,0
13.0427379,77.5892891,0
13.0308555,77.5359082,0
13.0161873,77.7093516,0
12.9693576,77.7006406,1
12.9625526,77.5916298,0
12.9893817,77.5927844,0
12.938565,77.6979933,1
12.9690624,77.5872736,0
12.961311,77.55932,0
12.9146696,77.5640607,0
12.9173038,77.5882958,0
12.9144686,77.5650362,0
12.9144815,77.5650493,0
12.9113626,77.5999548,0
12.9353705,77.5182037,0
12.9216444,77.5940415,0
12.9246541,77.6497438,1
12.9145147,77.5649877,0
12.9145447,77.5650079,0
12.9635928,77.6263774,0
13.0310785,77.5357035,0
12.8700974,77.6533824,0
12.9762232,77.6016656,0
12.9211317,77.6627683,1
12.9832059,77.5766759,0
12.9793286,77.5105419,4
12.94819783,77.53467664,0
13.022765,77.6014354,9
12.9943131,77.617972,0
13.0071299,77.5267687,10
13.1511992,77.620242,-1
13.0264,77.544019,0
13.1212507,77.6179465,-1
12.9895389,77.5057545,4
12.9245044,77.6502426,1
12.9664142,77.5125512,4
12.9758786,77.5643384,0
12.9641027,77.5700324,0
12.9124656,77.5805324,0
12.9228317,77.6575101,1
13.0378641,77.5222897,0
12.9583476,77.5547336,0
12.8895087,77.6408236,0
12.8895337,77.640687,0
12.9847423,77.574706,0
13.0229252,77.5099725,-1
12.8894616,77.6407007,0
13.0436683,77.6067467,0
13.0145688,77.5835164,0
13.0186759,77.5588615,0
12.9494883,77.5368741,0
13.0229482,77.601028,9
12.9928917,77.5854867,0
12.9625233,77.6415686,0
13.0976738,77.5990251,0
13.1151883,77.6067482,0
13.07835,77.502205,-1
12.984191,77.5972223,0
12.97447,77.5492,0
12.9842204,77.597142,0
13.0488954,77.4970171,0
12.9891874,77.5070709,4
12.9160564,77.6160829,0
13.16120295,77.62691818,-1
12.9532283,77.538385,0
12.9844178,77.5970285,0
12.8569988,77.5889807,0
12.9446407,77.5969852,0
13.0407502,77.5174141,0
13.0414238,77.545608,0
12.95983785,77.64811735,0
13.0446065,77.5828293,0
12.9197329,77.5835635,0
12.9875849,77.5182251,4
12.9886918,77.519831,4
12.9595376,77.5557817,0
12.993901,77.6190564,0
12.9988047,77.5839954,0
12.8885722,77.640446,0
12.9858066,77.6051199,0
13.0450698,77.6440587,11
12.9541849,77.5435568,0
12.9679023,77.5680413,0
12.9895932,77.5723117,0
13.0522674,77.4879449,0
13.0446065,77.5828293,0
12.8733932,77.6251719,12
12.8732959,77.6248843,12
12.9013118,77.6322397,0
12.972653,77.6185064,0
13.0379483,77.6257684,0
12.8980705,77.5460958,22
12.9415222,77.5603107,-1
12.965034,77.5747048,0
12.9904041,77.5993848,0
12.9915317,77.7140583,13
12.9450066,77.5274017,0
13.114945,77.60684,0
13.0176948,77.553788,0
12.9694199,77.7006686,1
12.8985649,77.5435672,22
12.8893347,77.5379823,-1
12.9514566,77.6214627,14
12.9514586,77.6214633,14
12.9513718,77.621369,14
12.9643399,77.5855341,0
12.9800987,77.6655755,-1
12.9441328,77.5010682,-1
12.8785528,77.6720521,-1
12.9643404,77.5855854,0
12.8785573,77.6719048,-1
13.044562,77.583011,0
13.0317076,77.5355328,0
13.0451384,77.5070153,0
12.9474732,77.5340694,0
12.850847,77.6685139,6
13.0623222,77.459163,0
12.860655,77.4311029,-1
13.0355513,77.5265219,0
12.92335,77.58296,0
12.9390583,77.6946217,1
12.8509801,77.6601903,-1
13.0817559,77.5482378,15
